identifiant,Prénom,Nom,Région,Département,Numéro de circonscription,Profession,Groupe politique (complet),Groupe politique (abrégé),réélu.e
719512,Corinne,Vignon,Occitanie,Haute-Garonne,3,Cadre supérieur (secteur privé),La République en Marche,LaREM,Oui
719266,Jean-Pierre,Cubertafon,Nouvelle-Aquitaine,Dordogne,3,Retraité des professions libérales,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
719138,Michel,Castellani,Corse,Haute-Corse,1,Professeur des Universités,Libertés et Territoires,LT,Oui
720334,Jimmy,Pahun,Bretagne,Morbihan,2,Navigateur,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
718926,Pierre,Dharréville,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13,Employé (secteur privé),Gauche démocrate et républicaine,GDR,Oui
720222,Éric,Girardin,Grand Est,Marne,3,Industriel-Chef d'entreprise,La République en Marche,LaREM,Oui
695100,Meyer,Habib,Français établis hors de France,Français établis hors de France,8,Ingénieur,UDI et Indépendants,UDI-I,Oui
677483,Stéphane,Mazars,Occitanie,Aveyron,1,Avocat,La République en Marche,LaREM,Oui
722374,Cyrille,Isaac-Sibille,Auvergne-Rhône-Alpes,Rhône,12,Médecin,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
643134,Isabelle,Valentin,Auvergne-Rhône-Alpes,Haute-Loire,1,Salariée agricole,Les Républicains,LR,Oui
340343,Hervé,Saulignac,Auvergne-Rhône-Alpes,Ardèche,1,Cadre (entreprises publiques),Socialistes et apparentés,SOC,Oui
722390,Josiane,Corneloup,Bourgogne-Franche-Comté,Saône-et-Loire,2,Pharmacienne,Les Républicains,LR,Oui
719882,Marjolaine,Meynier-Millefert,Auvergne-Rhône-Alpes,Isère,10,Consultante,La République en Marche,LaREM,Oui
332523,Marie-Christine,Dalloz,Bourgogne-Franche-Comté,Jura,2,Autre profession,Les Républicains,LR,Oui
719632,Sophie,Panonacle,Nouvelle-Aquitaine,Gironde,8,Sans profession déclarée,La République en Marche,LaREM,Oui
720846,Bastien,Lachaud,Ile-de-France,Seine-Saint-Denis,6,Professeur du secondaire et technique,La France insoumise,FI,Oui
606507,Florent,Boudié,Nouvelle-Aquitaine,Gironde,10,Cadre supérieur du secteur public,La République en Marche,LaREM,Oui
719272,Frédérique,Meunier,Nouvelle-Aquitaine,Corrèze,2,Avocate,Les Républicains,LR,Oui
719146,Jean-Félix,Acquaviva,Corse,Haute-Corse,2,Cadre,Libertés et Territoires,LT,Oui
720342,Nicole,Le Peih,Bretagne,Morbihan,3,Agriculteur-propriétaire exploitant,La République en Marche,LaREM,Oui
721314,Raphaël,Schellenberger,Grand Est,Haut-Rhin,4,Attaché Parlementaire,Les Républicains,LR,Oui
