identifiant;Prénom;Nom;Région;Département;Numéro de circonscription;Profession;Groupe politique (complet);Groupe politique (abrégé)
795084;Rodrigo;Arenas;Ile-de-France;Paris;10;Cadre de la fonction publique;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
719436;Nicolas;Meizonnet;Occitanie;Gard;2;Ingénieur en informatique ;Rassemblement National;RN
334116;Jacqueline;Maquet;Hauts-de-France;Pas-de-Calais;2;Directrice de mission;Renaissance;RE
719024;Christophe;Blanchet;Normandie;Calvados;4;Commerçant;Démocrate (MoDem et Indépendants);Dem
608695;Cécile;Untermaier;Bourgogne-Franche-Comté;Saône-et-Loire;4;Fonctionnaire des grands corps de l'État;Socialistes et apparentés;SOC
796114;Catherine;Jaouen;Provence-Alpes-Côte d'Azur;Vaucluse;1;AVOCAT;Rassemblement National;RN
720286;Caroline;Fiat;Grand Est;Meurthe-et-Moselle;6;Salariée du secteur médical;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
793342;Alexandra;Martin (Alpes-Maritimes);Provence-Alpes-Côte d'Azur;Alpes-Maritimes;8;Employé civil et agent de service de la fonction publique;Les Républicains;LR
795990;Maud;Bregeon;Ile-de-France;Hauts-de-Seine;13;Ingénieur et cadre technique d'entreprise;Renaissance;RE
267324;Jean-Jacques;Gaultier;Grand Est;Vosges;4;Médecin biologiste;Les Républicains;LR
720154;Nicole;Dubré-Chirat;Pays de la Loire;Maine-et-Loire;6;Retraitée de la fonction publique hospitalière et chargée de formation;Renaissance;RE
721632;Patricia;Lemoine;Ile-de-France;Seine-et-Marne;5;Directrice de cabinet;Renaissance;RE
721336;Blandine;Brocard;Auvergne-Rhône-Alpes;Rhône;5;Employée (secteur privé);Démocrate (MoDem et Indépendants);Dem
719382;Luc;Lamirault;Centre-Val de Loire;Eure-et-Loir;3;chef d'entreprise;Horizons et apparentés;HOR
721828;Fanta;Berete;Ile-de-France;Paris;12;Directrice projets;Renaissance;RE
795864;Pierre;Cazeneuve;Ile-de-France;Hauts-de-Seine;7;Cadre de la fonction publique;Renaissance;RE
794770;Michèle;Martinez;Occitanie;Pyrénées-Orientales;4;Sans profession déclarée;Rassemblement National;RN
795786;Yaël;Menache;Hauts-de-France;Somme;5;Commerciale;Rassemblement National;RN
794486;Violette;Spillebout;Hauts-de-France;Nord;9;Cadre administratif et commercial d'entreprise;Renaissance;RE
720720;Josy;Poueyto;Nouvelle-Aquitaine;Pyrénées-Atlantiques;1;Retraitée de la fonction publique (hors enseignement);Démocrate (MoDem et Indépendants);Dem
793476;Francis;Dubois;Nouvelle-Aquitaine;Corrèze;1;Technicien;Les Républicains;LR
795664;Paul;Midy;Ile-de-France;Essonne;5;Chef d'entreprise de 10 salariés ou plus;Renaissance;RE
794582;Kévin;Pfeffer;Grand Est;Moselle;6;Permanent politique;Rassemblement National;RN
795588;Farida;Amrani;Ile-de-France;Essonne;1;Cadre de la fonction publique;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
720074;Caroline;Janvier;Centre-Val de Loire;Loiret;2;Autre cadre (secteur privé);Renaissance;RE
793716;Laurent;Croizier;Bourgogne-Franche-Comté;Doubs;1;Professeur des écoles, instituteur et assimilé;Démocrate (MoDem et Indépendants);Dem
793262;Laurent;Alexandre;Occitanie;Aveyron;2;Ouvrier qualifié de type industriel;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
721710;Michèle;Peyron;Ile-de-France;Seine-et-Marne;9;Autre cadre (secteur privé);Renaissance;RE
721314;Raphaël;Schellenberger;Grand Est;Haut-Rhin;4;;Les Républicains;LR
783457;Victor;Habert-Dassault;Hauts-de-France;Oise;1;Avocat;Les Républicains;LR
794146;Julie;Laernoes;Pays de la Loire;Loire-Atlantique;4;Ancien cadre;Écologiste - NUPES;Ecolo - NUPES
1874;Marc;Le Fur;Bretagne;Côtes-d'Armor;3;Sous-préfet;Les Républicains;LR
795730;Bastien;Marchive;Nouvelle-Aquitaine;Deux-Sèvres;1;Juriste;Renaissance;RE
794434;Christophe;Bentz;Grand Est;Haute-Marne;1;Professeur, profession scientifique;Rassemblement National;RN
794658;Philippe;Fait;Hauts-de-France;Pas-de-Calais;4;Professeur des écoles, instituteur et assimilé;Renaissance;RE
793282;Didier;Parakian;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;1;DIRIGEANT D'ENTREPRISE;Renaissance;RE
720334;Jimmy;Pahun;Bretagne;Morbihan;2;Navigateur;Démocrate (MoDem et Indépendants);Dem
719600;Éric;Poulliat;Nouvelle-Aquitaine;Gironde;6;Fonctionnaire de catégorie B;Renaissance;RE
340343;Hervé;Saulignac;Auvergne-Rhône-Alpes;Ardèche;1;Cadre (entreprises publiques);Socialistes et apparentés;SOC
421348;André;Villiers;Bourgogne-Franche-Comté;Yonne;2;Agriculteur-propriétaire exploitant;Horizons et apparentés;HOR
266797;Philippe;Gosselin;Normandie;Manche;1;Maître de conférences à Sciences Po;Les Républicains;LR
794914;Alexandre;Vincendet;Auvergne-Rhône-Alpes;Rhône;7;Elu local;Les Républicains;LR
718850;Pierre;Cordier;Grand Est;Ardennes;2;Fonctionnaire de catégorie A;Les Républicains;LR
794198;Roger;Chudeau;Centre-Val de Loire;Loir-et-Cher;2;Inspecteur général de l'éducation nationale honoraire ;Rassemblement National;RN
793134;Jérôme;Buisson;Auvergne-Rhône-Alpes;Ain;4;Professeur d'italien;Rassemblement National;RN
346782;Philippe;Juvin;Ile-de-France;Hauts-de-Seine;3;Professeur de médecine;Les Républicains;LR
795350;Frédéric;Valletoux;Ile-de-France;Seine-et-Marne;2;Profession de l'information;Horizons et apparentés;HOR
332228;Thierry;Benoit;Bretagne;Ille-et-Vilaine;6;Représentant de commerce;Horizons et apparentés;HOR
720684;Pierre-Henri;Dumont;Hauts-de-France;Pas-de-Calais;7;Collaborateur parlementaire;Les Républicains;LR
605782;Laurent;Marcangeli;Corse;Corse-du-Sud;1;Avocat;Horizons et apparentés;HOR
794598;Laurent;Jacobelli;Grand Est;Moselle;8;Profession de l'information, des arts et des spectacles;Rassemblement National;RN
794038;Yannick;Neuder;Auvergne-Rhône-Alpes;Isère;7;Cardiologue;Les Républicains;LR
795604;Estelle;Folest;Ile-de-France;Val-d'Oise;6;Directrice de la communication;Démocrate (MoDem et Indépendants);Dem
794322;Thomas;Ménagé;Centre-Val de Loire;Loiret;4;Cadre administratif et commercial d'entreprise;Rassemblement National;RN
720846;Bastien;Lachaud;Ile-de-France;Seine-Saint-Denis;6;Professeur du secondaire et technique;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
721474;Stéphane;Viry;Grand Est;Vosges;1;Avocat;Les Républicains;LR
721270;Stéphane;Peu;Ile-de-France;Seine-Saint-Denis;2;Employé;Gauche démocrate et républicaine - NUPES;GDR - NUPES
722162;Nicolas;Turquois;Nouvelle-Aquitaine;Vienne;4;Agriculteur-propriétaire exploitant;Démocrate (MoDem et Indépendants);Dem
794154;Jean-Claude;Raux;Pays de la Loire;Loire-Atlantique;6;Professeur, profession scientifique;Écologiste - NUPES;Ecolo - NUPES
805166;Anne;Bergantz;Ile-de-France;Yvelines;2;Responsable de service social hospitalier;Démocrate (MoDem et Indépendants);Dem
309643;Véronique;Besse;Pays de la Loire;Vendée;4;Journaliste;Non inscrit;NI
607619;Paul;Molac;Bretagne;Morbihan;4;Professeur du secondaire;Libertés, Indépendants, Outre-mer et Territoires;LIOT
721984;Philippe;Latombe;Pays de la Loire;Vendée;1;Cadre supérieur (secteur privé);Démocrate (MoDem et Indépendants);Dem
793980;Charles;Fournier;Centre-Val de Loire;Indre-et-Loire;1;consultant - formateur;Écologiste - NUPES;Ecolo - NUPES
793354;Joëlle;Mélin;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;9;Médecin expert judiciaire;Rassemblement National;RN
721262;Guillaume;Vuilletet;Ile-de-France;Val-d'Oise;2;Cadre supérieur (secteur privé);Renaissance;RE
793912;Sylvain;Carrière;Occitanie;Hérault;8;Employé de commerce;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
796132;Raquel;Garrido;Ile-de-France;Seine-Saint-Denis;5;Avocate;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
794214;Quentin;Bataillon;Auvergne-Rhône-Alpes;Loire;1;Cadre administratif et commercial d'entreprise;Renaissance;RE
795026;Anne-Cécile;Violland;Auvergne-Rhône-Alpes;Haute-Savoie;5;Profession libérale;Horizons et apparentés;HOR
793780;Christine;Arrighi;Occitanie;Haute-Garonne;9;Ancien cadre;Écologiste - NUPES;Ecolo - NUPES
793146;Nicolas;Dragon;Hauts-de-France;Aisne;1;Profession libérale;Rassemblement National;RN
